Activity,canonical_smiles,activity_nM,tpsa,mw,hbd,hba,rot,logp,hac,ring_count
0,Nc1ccccc1NC(=O)c1ccc(C(=O)Nc2cccc(Nc3ncc(-c4cccnc4)s3)c2)s1,12000.0,122.03,512.6200000000001,4.0,8.0,7.0,6.097000000000002,36.0,5.0
0,C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,420.0,87.65,457.5410000000002,3.0,7.0,6.0,5.905420000000004,35.0,5.0
0,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC(=O)NO,625.0,105.60000000000001,433.2620000000002,3.0,7.0,7.0,3.418800000000002,27.0,3.0
0,COc1ccc(-n2nc(C)c3c(Nc4ccc(NC(=O)Nc5ccc(Cl)c(C(F)(F)F)c5)cc4)ncnc32)cc1,220.0,105.99000000000001,567.9590000000001,3.0,7.0,6.0,7.192320000000004,40.0,5.0
0,Nc1nccc(/C=C/c2c(-c3ccccc3)ncn2CCN2CCCC2)n1,32000.0,72.86,360.46500000000026,1.0,6.0,6.0,3.1885000000000012,27.0,4.0
1,Cc1ccc(O)cc1Nc1ccnc2c1C(=O)Nc1cc(CNCC(N)=O)ccc1N2,10.6,141.4,418.45700000000016,6.0,7.0,6.0,2.723419999999999,31.0,4.0
0,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,2070.0,88.08,353.4260000000001,1.0,7.0,5.0,3.597900000000002,26.0,4.0
0,COc1cc(OC)cc(-c2cc3cnc(N(CCCO)C(C)=O)cc3nc2NC(=O)NC(C)(C)C)c1,1900.0,125.91000000000003,495.5800000000002,3.0,7.0,8.0,3.9693000000000023,36.0,3.0
0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,32657.53,74.73000000000002,393.4430000000002,1.0,7.0,10.0,3.405100000000002,29.0,3.0
1,Cc1ccc(O)cc1Nc1ccnc2c1C(=O)Nc1cc(CNC3CCN(C)CC3)ccc1N2,7.25,101.55,458.56600000000026,5.0,7.0,5.0,4.332320000000002,34.0,5.0
1,O=C(Nc1cccc(Nc2ncccc2-c2ncnc3[nH]cnc23)c1)c1cccc(C(F)(F)F)c1,182.0,108.48,475.4340000000001,3.0,6.0,5.0,5.4296000000000015,35.0,5.0
0,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,5000.0,100.19,326.40000000000003,2.0,6.0,5.0,3.3781000000000008,24.0,3.0
1,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C4CCCC4)c13)CNC2=O,55.0,61.08,480.61200000000036,1.0,5.0,2.0,5.893700000000005,36.0,8.0
1,COCCn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,9.0,90.30000000000001,505.8840000000002,2.0,6.0,7.0,6.186200000000004,35.0,4.0
1,COc1cc2ncnc(Sc3cccc(NC(=S)Nc4ccc(Br)c(C(F)(F)F)c4)c3)c2cc1OC,80.0,68.30000000000001,595.466,2.0,6.0,6.0,7.388400000000003,36.0,4.0
0,Cc1cc(OCCCN2CCN(C(C)C)CC2)c2oc3cc(Oc4ccc(CCC(=O)NC5CCCC5)nc4)ccc3c(=O)c2c1,5500.0,97.13999999999999,626.7980000000003,1.0,8.0,12.0,6.2282200000000065,46.0,6.0
1,CN(C)CCCc1cncc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,11.0,65.97,438.98800000000017,2.0,6.0,6.0,4.725200000000003,30.0,4.0
